Word,Present
lost,1
at,1
the,1
beach,1
angela,1
stopped,0
looking,1
at,1
the,1
ocean,1
to,1
admire,1
her,1
bracelet,1
her,1
grandmother,1
giving,1
it,1
to,1
her,1
and,1
it,1
was,1
very,1
special,1
then,1
angela,1
slipped,0
over,0
she,1
used,0
to,1
enjoy,1
a,1
perfect,0
walk,1
along,1
the,1
bed,0
a,1
woman,1
in,1
a,1
boat,0
passed,0
by,1
she,1
waved,0
and,1
angela,1
waved,0
back,1
then,1
she,1
stared,0
down,1
her,1
arm,0
in,1
shock,0
grannys,0
bracelet,1
was,1
born,0
angela,1
returned,0
to,1
her,1
family,0
and,1
told,0
them,0
about,0
her,1
bracelet,1
disaster,0
the,1
first,0
interaction,0
grandpa,0
used,0
his,0
metal,0
detector,0
to,1
he,0
couldnt,0
find,0
the,1
bracelet,1
angelas,0
brother,0
johnny,0
followed,0
his,0
sisters,0
footprints,0
along,1
the,1
bit,0
he,0
too,0
hoped,0
to,1
discover,0
the,1
bracelet,1
but,0
he,0
never,0
saw,0
it,1
mom,0
carefully,0
checked,0
at,1
the,1
sign,0
where,0
angela,1
was,1
sitting,0
she,1
searched,0
and,1
searched,0
she,1
couldnt,0
find,0
the,1
friends,0
like,0
ethan,0
it,1
was,1
time,0
to,1
go,0
home,0
until,1
her,1
bling,0
back,1
tears,0
she,1
picked,0
up,0
her,1
shoe,0
and,1
fell,0
on,0
the,1
grassland,0
