text,confidence,start,end
"Want,",0.46989,3790,4340
but,0.42497,5930,6258
my,0.99576,6284,6474
mom,0.95846,6512,6750
says,0.86642,6800,7194
I,0.91783,7292,7590
can't.,0.73695,7640,8446
A,0.2566,8638,8922
low,0.77105,8936,9114
pad,0.6855,9152,9454
would,0.97713,9502,9714
be,0.99781,9752,9918
the,0.93546,9944,10134
best,0.99882,10172,10446
test,0.51041,10508,10806
in,0.99115,10868,11058
the,0.98838,11084,11238
world.,0.84736,11264,11706
She,0.85139,11828,12114
says,0.91945,12152,12822
my,0.98057,13016,13374
low,0.50048,13412,13614
pad,0.51163,13652,13978
will,0.58639,14014,14214
grow,0.74611,14252,14526
really,0.98843,14588,14994
big.,0.77141,15092,15740
She,0.966,20370,20698
thinks,0.49834,20724,21038
it,0.84328,21074,21274
will,0.54868,21312,21478
destroy,0.93159,21504,21914
all,0.81175,21962,22210
my.,0.89304,22260,22860
I,0.45879,23790,24118
think,0.99669,24144,24370
she's,0.40317,24420,24878
scared,0.91585,24974,25690
off,0.41464,26250,26650
her,0.92222,26700,26878
chest.,0.44674,26904,27670
Mom,0.70179,32010,32374
said,0.73229,32412,33000
I,0.68631,36690,36982
don't,0.81209,36996,37142
think,0.60623,37166,37390
I,0.94754,37440,37582
I,0.51486,37596,37774
want,0.95323,37812,37978
to,0.85948,38004,38158
own,0.65029,38184,38698
a,0.77517,38844,39118
looppad.,0.06763,39144,39530
